pos;Ru;Pd;Ir;Pt;current
296;19.3;39.3;9.3;32.2;-0.20998
297;44.1;21.2;11.2;23.5;-0.33235
298;42;22.7;11.3;24;-0.34283
299;39.8;23.9;11.4;24.9;-0.34407
300;38.3;24.6;10.9;26.3;-0.35345
301;36.5;26;10.7;26.8;-0.35279
302;34.8;26.9;10.3;28;-0.34251
303;32.9;28.2;10.8;28.1;-0.34112
304;31.8;28.6;10.2;29.4;-0.32657
305;28.8;30.8;10.4;30.1;-0.31007
306;27.9;31.4;10.5;30.3;-0.31099
307;26.7;32;9.8;31.5;-0.30271
308;25.2;33.7;9.2;31.8;-0.27361
309;23.3;35.3;9.2;32.3;-0.2462
310;22.3;35.7;9.2;32.8;-0.22313
311;21.2;37;8.8;33.1;-0.20305
312;40.9;22.8;10.9;25.4;-3.13E-01
313;39.2;23.2;11.1;26.4;-0.29943
314;37.3;24.6;11;27.1;-0.32148
315;36.1;25.4;10.5;28;-0.32176
316;34;26.2;10.4;29.4;-0.30931
317;32.5;27.5;10.4;29.6;-0.31423
318;30.8;28.9;10.1;30.1;-0.32052
319;29;29.9;9.9;31.2;-0.31232
320;27.6;30.5;9.5;32.4;-0.30722
321;25.7;32.1;9.3;32.9;-0.28394
322;24.9;32.6;9.5;33;-0.26995
323;22.9;34.4;8.6;34;-0.25699
324;21.7;35;8.8;34.5;-0.23549
325;39.2;22.5;10.8;27.6;-0.27458
326;36.7;23.9;10.7;28.7;-0.21493
327;35;24.9;10.6;29.4;-0.28959
328;34;25.6;10.3;30;-0.2929
329;32.4;26.5;10.2;30.9;-0.27634
330;30.3;27.7;9.9;32.1;-0.28942
331;28.7;29.2;9.5;32.7;-0.29515
332;26.9;30.1;9.4;33.6;-0.26869
333;25.7;31.1;9.3;33.9;-0.27216
334;24.8;31.6;8.9;34.7;-0.24096
335;22.8;33;8.8;35.5;-0.23542
336;34.5;24.7;10;30.8;-0.17681
337;32.8;25.5;10.3;31.5;-0.23263
338;31;26.6;9.9;32.5;-0.25183
339;29.7;27.6;9.4;33.3;-0.23468
340;28.6;28.1;9.3;33.9;-0.24174
341;25.7;30;9.3;35;-0.21486
342;25.2;30.2;8.9;35.7;-0.24379
